spec	formula	smiles	inchikey	spec_file	precursor_type	collision_energy
spec_000011	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000011.ms	[M+H]+	120.0 eV
spec_000012	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000012.ms	[M+H]+	140.0 eV
spec_000013	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000013.ms	[M+H]+	160.0 eV
spec_000014	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000014.ms	[M+H]+	180.0 eV
spec_000015	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000015.ms	[M+H]+	200.0 eV
spec_000016	C10H21NO7	C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO	FZNCGRZWXLXZSZ-CIQUZCHMSA-N	../data/antibio/spec_files/spec_000016.ms	[M+H]+	60.0 eV
spec_000017	C10H21NO7	C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO	FZNCGRZWXLXZSZ-CIQUZCHMSA-N	../data/antibio/spec_files/spec_000017.ms	[M+H]+	70.0 eV
spec_000018	C10H21NO7	C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO	FZNCGRZWXLXZSZ-CIQUZCHMSA-N	../data/antibio/spec_files/spec_000018.ms	[M+H]+	80.0 eV
spec_000019	C10H21NO7	C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO	FZNCGRZWXLXZSZ-CIQUZCHMSA-N	../data/antibio/spec_files/spec_000019.ms	[M+H]+	90.0 eV
spec_000020	C10H21NO7	C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO	FZNCGRZWXLXZSZ-CIQUZCHMSA-N	../data/antibio/spec_files/spec_000020.ms	[M+H]+	100.0 eV
spec_000021	C10H21NO7	C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO	FZNCGRZWXLXZSZ-CIQUZCHMSA-N	../data/antibio/spec_files/spec_000021.ms	[M+H]+	120.0 eV
spec_000022	C10H21NO7	C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO	FZNCGRZWXLXZSZ-CIQUZCHMSA-N	../data/antibio/spec_files/spec_000022.ms	[M+H]+	140.0 eV
spec_000023	C10H21NO7	C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO	FZNCGRZWXLXZSZ-CIQUZCHMSA-N	../data/antibio/spec_files/spec_000023.ms	[M+H]+	160.0 eV
spec_000024	C10H21NO7	C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO	FZNCGRZWXLXZSZ-CIQUZCHMSA-N	../data/antibio/spec_files/spec_000024.ms	[M+H]+	180.0 eV
spec_000025	C10H21NO7	C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO	FZNCGRZWXLXZSZ-CIQUZCHMSA-N	../data/antibio/spec_files/spec_000025.ms	[M+H]+	200.0 eV
spec_000026	C4H11N5	CN(C)C(=N)N=C(N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000026.ms	[M+H]+	50.0 eV
spec_000027	C4H11N5	CN(C)C(=N)N=C(N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000027.ms	[M+H]+	60.0 eV
spec_000028	C4H11N5	CN(C)C(=N)N=C(N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000028.ms	[M+H]+	70.0 eV
spec_000029	C4H11N5	CN(C)C(=N)N=C(N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000029.ms	[M+H]+	80.0 eV
spec_000030	C4H11N5	CN(C)C(=N)N=C(N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000030.ms	[M+H]+	90.0 eV
spec_000031	C4H11N5	CN(C)C(=N)N=C(N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000031.ms	[M+H]+	100.0 eV
spec_000032	C4H11N5	CN(C)C(=N)N=C(N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000032.ms	[M+H]+	120.0 eV
spec_000033	C4H11N5	CN(C)C(=N)N=C(N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000033.ms	[M+H]+	140.0 eV
spec_000034	C4H11N5	CN(C)C(=N)N=C(N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000034.ms	[M+H]+	160.0 eV
spec_000035	C4H11N5	CN(C)C(=N)N=C(N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000035.ms	[M+H]+	180.0 eV
spec_000036	C4H11N5	CN(C)C(=N)N=C(N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000036.ms	[M+H]+	200.0 eV
spec_000037	C13H21NO3	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O	NDAUXUAQIAJITI-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000037.ms	[M+H]+	80.0 eV
spec_000038	C13H21NO3	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O	NDAUXUAQIAJITI-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000038.ms	[M+H]+	100.0 eV
spec_000039	C6H5NO2	C1=CC(=CN=C1)C(=O)O	PVNIIMVLHYAWGP-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000039.ms	[M+H]+	90.0 eV
spec_000040	C6H5NO2	C1=CC(=CN=C1)C(=O)O	PVNIIMVLHYAWGP-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000040.ms	[M+H]+	100.0 eV
spec_000041	C6H5NO2	C1=CC(=CN=C1)C(=O)O	PVNIIMVLHYAWGP-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000041.ms	[M+H]+	120.0 eV
spec_000042	C6H5NO2	C1=CC(=CN=C1)C(=O)O	PVNIIMVLHYAWGP-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000042.ms	[M+H]+	140.0 eV
spec_000043	C6H5NO2	C1=CC(=CN=C1)C(=O)O	PVNIIMVLHYAWGP-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000043.ms	[M+H]+	160.0 eV
spec_000044	C6H5NO2	C1=CC(=CN=C1)C(=O)O	PVNIIMVLHYAWGP-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000044.ms	[M+H]+	180.0 eV
spec_000045	C6H5NO2	C1=CC(=CN=C1)C(=O)O	PVNIIMVLHYAWGP-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000045.ms	[M+H]+	200.0 eV
spec_000046	C6H9N3O3	CC1=NC=C(N1CCO)[N+](=O)[O-]	VAOCPAMSLUNLGC-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000046.ms	[M+H]+	10.0 eV
spec_000047	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000047.ms	[M+H]+	40.0 eV
spec_000048	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000048.ms	[M+H]+	50.0 eV
spec_000049	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000049.ms	[M+H]+	55.0 eV
spec_000050	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000050.ms	[M+H]+	60.0 eV
spec_000051	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000051.ms	[M+H]+	70.0 eV
spec_000052	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000052.ms	[M+H]+	80.0 eV
spec_000053	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000053.ms	[M+H]+	90.0 eV
spec_000054	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000054.ms	[M+H]+	100.0 eV
spec_000055	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000055.ms	[M+H]+	120.0 eV
spec_000056	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000056.ms	[M+H]+	140.0 eV
spec_000057	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000057.ms	[M+H]+	160.0 eV
spec_000058	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000058.ms	[M+H]+	180.0 eV
spec_000059	C10H15N5	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	ICFJFFQQTFMIBG-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000059.ms	[M+H]+	200.0 eV
spec_000060	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000060.ms	[M+H]+	50.0 eV
spec_000061	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000061.ms	[M+H]+	55.0 eV
spec_000062	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000062.ms	[M+H]+	60.0 eV
spec_000063	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000063.ms	[M+H]+	70.0 eV
spec_000064	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000064.ms	[M+H]+	80.0 eV
spec_000065	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000065.ms	[M+H]+	90.0 eV
spec_000066	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000066.ms	[M+H]+	100.0 eV
spec_000067	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000067.ms	[M+H]+	120.0 eV
spec_000068	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000068.ms	[M+H]+	140.0 eV
spec_000069	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000069.ms	[M+H]+	160.0 eV
spec_000070	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000070.ms	[M+H]+	180.0 eV
spec_000071	C18H25N3O2	C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N	QGJUIPDUBHWZPV-SGTAVMJGSA-N	../data/antibio/spec_files/spec_000071.ms	[M+H]+	200.0 eV
spec_000072	C15H17FN4O3	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000072.ms	[M+H]+	50.0 eV
spec_000073	C15H17FN4O3	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000073.ms	[M+H]+	60.0 eV
spec_000074	C15H17FN4O3	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000074.ms	[M+H]+	70.0 eV
spec_000075	C15H17FN4O3	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000075.ms	[M+H]+	80.0 eV
spec_000076	C15H17FN4O3	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000076.ms	[M+H]+	90.0 eV
spec_000077	C15H17FN4O3	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000077.ms	[M+H]+	100.0 eV
spec_000078	C15H17FN4O3	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000078.ms	[M+H]+	120.0 eV
spec_000079	C15H17FN4O3	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000079.ms	[M+H]+	140.0 eV
spec_000080	C15H17FN4O3	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000080.ms	[M+H]+	160.0 eV
spec_000081	C15H17FN4O3	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000081.ms	[M+H]+	180.0 eV
spec_000082	C15H17FN4O3	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000082.ms	[M+H]+	200.0 eV
spec_000083	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000083.ms	[M+H]+	20.0 eV
spec_000084	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000084.ms	[M+H]+	30.0 eV
spec_000085	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000085.ms	[M+H]+	40.0 eV
spec_000086	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000086.ms	[M+H]+	50.0 eV
spec_000087	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000087.ms	[M+H]+	55.0 eV
spec_000088	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000088.ms	[M+H]+	60.0 eV
spec_000089	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000089.ms	[M+H]+	70.0 eV
spec_000090	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000090.ms	[M+H]+	80.0 eV
spec_000091	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000091.ms	[M+H]+	90.0 eV
spec_000092	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000092.ms	[M+H]+	100.0 eV
spec_000093	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000093.ms	[M+H]+	120.0 eV
spec_000094	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000094.ms	[M+H]+	140.0 eV
spec_000095	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000095.ms	[M+H]+	160.0 eV
spec_000096	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000096.ms	[M+H]+	180.0 eV
spec_000097	C10H10N4O2S	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	SEEPANYCNGTZFQ-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000097.ms	[M+H]+	200.0 eV
spec_000098	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000098.ms	[M+H]+	30.0 eV
spec_000099	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000099.ms	[M+H]+	40.0 eV
spec_000100	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000100.ms	[M+H]+	50.0 eV
spec_000101	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000101.ms	[M+H]+	60.0 eV
spec_000102	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000102.ms	[M+H]+	70.0 eV
spec_000103	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000103.ms	[M+H]+	80.0 eV
spec_000104	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000104.ms	[M+H]+	90.0 eV
spec_000105	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000105.ms	[M+H]+	100.0 eV
spec_000106	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000106.ms	[M+H]+	120.0 eV
spec_000107	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000107.ms	[M+H]+	140.0 eV
spec_000108	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000108.ms	[M+H]+	180.0 eV
spec_000109	C9H9N3O2S2	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	JNMRHUJNCSQMMB-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000109.ms	[M+H]+	200.0 eV
spec_000110	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000110.ms	[M+H]+	20.0 eV
spec_000111	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000111.ms	[M+H]+	30.0 eV
spec_000112	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000112.ms	[M+H]+	40.0 eV
spec_000113	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000113.ms	[M+H]+	50.0 eV
spec_000114	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000114.ms	[M+H]+	55.0 eV
spec_000115	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000115.ms	[M+H]+	60.0 eV
spec_000116	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000116.ms	[M+H]+	70.0 eV
spec_000117	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000117.ms	[M+H]+	80.0 eV
spec_000118	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000118.ms	[M+H]+	90.0 eV
spec_000119	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000119.ms	[M+H]+	100.0 eV
spec_000120	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000120.ms	[M+H]+	120.0 eV
spec_000121	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000121.ms	[M+H]+	140.0 eV
spec_000122	C12H18Br2N2O	CC(C)(C)NCC(C1=CC(=C(C(=C1)Br)N)Br)O	XGPFKIAOVSGRSY-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000122.ms	[M+H]+	160.0 eV
